firstnames,Lastnames,DOB,annee_bacc
192. Barrett,A193,6/1/1950,3/25/1980
193. Felix,A194,6/1/1950,3/25/1980
194. Alex,A195,6/1/1950,3/25/1980
195. Miguel,A196,6/1/1950,3/25/1980
196. Abel,A197,6/1/1950,3/25/1980
197. Alan,A198,6/1/1950,3/25/1980
198. Beckett,A199,6/1/1950,3/25/1980
199. Amari,A200,6/1/1950,3/25/1980
200. Karter,A201,6/1/1950,3/25/1980
201. Timothy,A202,6/1/1950,3/25/1980
202. Abraham,A203,6/1/1950,3/25/1980
203. Jesse,A204,6/1/1950,3/25/1980
204. Zayden,A205,6/1/1950,3/25/1980
205. Blake,A206,6/1/1950,3/25/1980
206. Alejandro,A207,6/1/1950,3/25/1980
207. Dawson,A208,6/1/1950,3/25/1980
208. Tristan,A209,6/1/1950,3/25/1980
209. Victor,A210,6/1/1950,3/25/1980
210. Avery,A211,6/1/1950,3/25/1980
211. Joel,A212,6/1/1950,3/25/1980
212. Grant,A213,6/1/1950,3/25/1980
213. Eric,A214,6/1/1950,3/25/1980
214. Patrick,A215,6/1/1950,3/25/1980
215. Peter,A216,6/1/1950,3/25/1980
216. Richard,A217,6/1/1950,3/25/1980
217. Edward,A218,6/1/1950,3/25/1980
218. Andres,A219,6/1/1950,3/25/1980
219. Emilio,A220,6/1/1950,3/25/1980
220. Colt,A221,6/1/1950,3/25/1980
221. Knox,A222,6/1/1950,3/25/1980
222. Beckham,A223,6/1/1950,3/25/1980
223. Adonis,A224,6/1/1950,3/25/1980
224. Kyrie,A225,6/1/1950,3/25/1980
225. Matias,A226,6/1/1950,3/25/1980
226. Oscar,A227,6/1/1950,3/25/1980
227. Lukas,A228,6/1/1950,3/25/1980
228. Marcus,A229,6/1/1950,3/25/1980
229. Hayes,A230,6/1/1950,3/25/1980
230. Caden,A231,6/1/1950,3/25/1980
231. Remington,A232,6/1/1950,3/25/1980
232. Griffin,A233,6/1/1950,3/25/1980
233. Nash,A234,6/1/1950,3/25/1980
234. Israel,A235,6/1/1950,3/25/1980
235. Steven,A236,6/1/1950,3/25/1980
236. Holden,A237,6/1/1950,3/25/1980
237. Rafael,A238,6/1/1950,3/25/1980
238. Zane,A239,6/1/1950,3/25/1980
239. Jeremy,A240,6/1/1950,3/25/1980
240. Kash,A241,6/1/1950,3/25/1980
241. Preston,A242,6/1/1950,3/25/1980
242. Kyler,A243,6/1/1950,3/25/1980
243. Jax,A244,6/1/1950,3/25/1980
244. Jett,A245,6/1/1950,3/25/1980
245. Kaleb,A246,6/1/1950,3/25/1980
246. Riley,A247,6/1/1950,3/25/1980
247. Simon,A248,6/1/1950,3/25/1980
248. Phoenix,A249,6/1/1950,3/25/1980
249. Javier,A250,6/1/1950,3/25/1980
250. Bryce,A251,6/1/1950,3/25/1980
251. Louis,A252,6/1/1950,3/25/1980
252. Mark,A253,6/1/1950,3/25/1980
253. Cash,A254,6/1/1950,3/25/1980
254. Lennox,A255,6/1/1950,3/25/1980
255. Paxton,A256,6/1/1950,3/25/1980
256. Malakai,A257,6/1/1950,3/25/1980
257. Paul,A258,6/1/1950,3/25/1980
258. Kenneth,A259,6/1/1950,3/25/1980
259. Nico,A260,6/1/1950,3/25/1980
260. Kaden,A261,6/1/1950,3/25/1980
261. Lane,A262,6/1/1950,3/25/1980
262. Kairo,A263,6/1/1950,3/25/1980
263. Maximus,A264,6/1/1950,3/25/1980
264. Omar,A265,6/1/1950,3/25/1980
265. Finley,A266,6/1/1950,3/25/1980
266. Atticus,A267,6/1/1950,3/25/1980
267. Crew,A268,6/1/1950,3/25/1980
268. Brantley,A269,6/1/1950,3/25/1980
269. Colin,A270,6/1/1950,3/25/1980
270. Dallas,A271,6/1/1950,3/25/1980
271. Walter,A272,6/1/1950,3/25/1980
272. Brady,A273,6/1/1950,3/25/1980
273. Callum,A274,6/1/1950,3/25/1980
274. Ronan,A275,6/1/1950,3/25/1980
275. Hendrix,A276,6/1/1950,3/25/1980
276. Jorge,A277,6/1/1950,3/25/1980
277. Tobias,A278,6/1/1950,3/25/1980
278. Clayton,A279,6/1/1950,3/25/1980
279. Emerson,A280,6/1/1950,3/25/1980
280. Damien,A281,6/1/1950,3/25/1980
281. Zayn,A282,6/1/1950,3/25/1980
282. Malcolm,A283,6/1/1950,3/25/1980
283. Kayson,A284,6/1/1950,3/25/1980
284. Bodhi,A285,6/1/1950,3/25/1980
285. Bryan,A286,6/1/1950,3/25/1980
286. Aidan,A287,6/1/1950,3/25/1980
287. Cohen,A288,6/1/1950,3/25/1980
288. Brian,A289,6/1/1950,3/25/1980
289. Cayden,A290,6/1/1950,3/25/1980
290. Andre,A291,6/1/1950,3/25/1980
291. Niko,A292,6/1/1950,3/25/1980
292. Maximiliano,A293,6/1/1950,3/25/1980
293. Zander,A294,6/1/1950,3/25/1980
294. Khalil,A295,6/1/1950,3/25/1980
295. Rory,A296,6/1/1950,3/25/1980
296. Francisco,A297,6/1/1950,3/25/1980
297. Cruz,A298,6/1/1950,3/25/1980
298. Kobe,A299,6/1/1950,3/25/1980
299. Reid,A300,6/1/1950,3/25/1980
300. Daxton,A301,6/1/1950,3/25/1980
301. Derek,A302,6/1/1950,3/25/1980
302. Martin,A303,6/1/1950,3/25/1980
303. Jensen,A304,6/1/1950,3/25/1980
304. Karson,A305,6/1/1950,3/25/1980
305. Tate,A306,6/1/1950,3/25/1980
306. Muhammad,A307,6/1/1950,3/25/1980
307. Jaden,A308,6/1/1950,3/25/1980
308. Joaquin,A309,6/1/1950,3/25/1980
309. Josue,A310,6/1/1950,3/25/1980
310. Gideon,A311,6/1/1950,3/25/1980
311. Dante,A312,6/1/1950,3/25/1980
312. Cody,A313,6/1/1950,3/25/1980
313. Bradley,A314,6/1/1950,3/25/1980
314. Orion,A315,6/1/1950,3/25/1980
315. Spencer,A316,6/1/1950,3/25/1980
316. Angelo,A317,6/1/1950,3/25/1980
317. Erick,A318,6/1/1950,3/25/1980
318. Jaylen,A319,6/1/1950,3/25/1980
319. Julius,A320,6/1/1950,3/25/1980
320. Manuel,A321,6/1/1950,3/25/1980
321. Ellis,A322,6/1/1950,3/25/1980
322. Colson,A323,6/1/1950,3/25/1980
323. Cairo,A324,6/1/1950,3/25/1980
324. Gunner,A325,6/1/1950,3/25/1980
325. Wade,A326,6/1/1950,3/25/1980
326. Chance,A327,6/1/1950,3/25/1980
327. Odin,A328,6/1/1950,3/25/1980
328. Anderson,A329,6/1/1950,3/25/1980
329. Kane,A330,6/1/1950,3/25/1980
330. Raymond,A331,6/1/1950,3/25/1980
331. Cristian,A332,6/1/1950,3/25/1980
332. Aziel,A333,6/1/1950,3/25/1980
333. Prince,A334,6/1/1950,3/25/1980
334. Ezequiel,A335,6/1/1950,3/25/1980
335. Jake,A336,6/1/1950,3/25/1980
336. Otto,A337,6/1/1950,3/25/1980
337. Eduardo,A338,6/1/1950,3/25/1980
338. Rylan,A339,6/1/1950,3/25/1980
339. Ali,A340,6/1/1950,3/25/1980
340. Cade,A341,6/1/1950,3/25/1980
341. Stephen,A342,6/1/1950,3/25/1980
342. Ari,A343,6/1/1950,3/25/1980
343. Kameron,A344,6/1/1950,3/25/1980
344. Dakota,A345,6/1/1950,3/25/1980
345. Warren,A346,6/1/1950,3/25/1980
346. Ricardo,A347,6/1/1950,3/25/1980
347. Killian,A348,6/1/1950,3/25/1980
348. Mario,A349,6/1/1950,3/25/1980
349. Romeo,A350,6/1/1950,3/25/1980
350. Cyrus,A351,6/1/1950,3/25/1980
351. Ismael,A352,6/1/1950,3/25/1980
352. Russell,A353,6/1/1950,3/25/1980
353. Tyson,A354,6/1/1950,3/25/1980
354. Edwin,A355,6/1/1950,3/25/1980
355. Desmond,A356,6/1/1950,3/25/1980
356. Nasir,A357,6/1/1950,3/25/1980
357. Remy,A358,6/1/1950,3/25/1980
358. Tanner,A359,6/1/1950,3/25/1980
359. Fernando,A360,6/1/1950,3/25/1980
360. Hector,A361,6/1/1950,3/25/1980
361. Titus,A362,6/1/1950,3/25/1980
362. Lawson,A363,6/1/1950,3/25/1980
363. Sean,A364,6/1/1950,3/25/1980
364. Kyle,A365,6/1/1950,3/25/1980
365. Elian,A366,6/1/1950,3/25/1980
366. Corbin,A367,6/1/1950,3/25/1980
367. Bowen,A368,6/1/1950,3/25/1980
368. Wilder,A369,6/1/1950,3/25/1980
369. Armani,A370,6/1/1950,3/25/1980
370. Royal,A371,6/1/1950,3/25/1980
371. Stetson,A372,6/1/1950,3/25/1980
372. Briggs,A373,6/1/1950,3/25/1980
373. Sullivan,A374,6/1/1950,3/25/1980
374. Leonel,A375,6/1/1950,3/25/1980
375. Callan,A376,6/1/1950,3/25/1980
376. Finnegan,A377,6/1/1950,3/25/1980
377. Jay,A378,6/1/1950,3/25/1980
378. Zayne,A379,6/1/1950,3/25/1980
379. Marshall,A380,6/1/1950,3/25/1980
380. Kade,A381,6/1/1950,3/25/1980
381. Travis,A382,6/1/1950,3/25/1980
382. Sterling,A383,6/1/1950,3/25/1980
383. Raiden,A384,6/1/1950,3/25/1980
384. Sergio,A385,6/1/1950,3/25/1980
385. Tatum,A386,6/1/1950,3/25/1980
386. Cesar,A387,6/1/1950,3/25/1980
387. Zyaire,A388,6/1/1950,3/25/1980
388. Milan,A389,6/1/1950,3/25/1980
389. Devin,A390,6/1/1950,3/25/1980
390. Gianni,A391,6/1/1950,3/25/1980
391. Kamari,A392,6/1/1950,3/25/1980
392. Royce,A393,6/1/1950,3/25/1980
393. Malik,A394,6/1/1950,3/25/1980
394. Jared,A395,6/1/1950,3/25/1980
395. Franklin,A396,6/1/1950,3/25/1980
396. Clark,A397,6/1/1950,3/25/1980
397. Noel,A398,6/1/1950,3/25/1980
398. Marco,A399,6/1/1950,3/25/1980
399. Archie,A400,6/1/1950,3/25/1980
400. Apollo,A401,6/1/1950,3/25/1980
401. Pablo,A402,6/1/1950,3/25/1980
402. Garrett,A403,6/1/1950,3/25/1980
403. Oakley,A404,6/1/1950,3/25/1980
404. Memphis,A405,6/1/1950,3/25/1980
405. Quinn,A406,6/1/1950,3/25/1980
406. Onyx,A407,6/1/1950,3/25/1980
407. Alijah,A408,6/1/1950,3/25/1980
408. Baylor,A409,6/1/1950,3/25/1980
409. Edgar,A410,6/1/1950,3/25/1980
410. Nehemiah,A411,6/1/1950,3/25/1980
411. Winston,A412,6/1/1950,3/25/1980
412. Major,A413,6/1/1950,3/25/1980
413. Rhys,A414,6/1/1950,3/25/1980
414. Forrest,A415,6/1/1950,3/25/1980
415. Jaiden,A416,6/1/1950,3/25/1980
416. Reed,A417,6/1/1950,3/25/1980
417. Santino,A418,6/1/1950,3/25/1980
418. Troy,A419,6/1/1950,3/25/1980
419. Caiden,A420,6/1/1950,3/25/1980
420. Harvey,A421,6/1/1950,3/25/1980
421. Collin,A422,6/1/1950,3/25/1980
422. Solomon,A423,6/1/1950,3/25/1980
423. Donovan,A424,6/1/1950,3/25/1980
424. Damon,A425,6/1/1950,3/25/1980
425. Jeffrey,A426,6/1/1950,3/25/1980
426. Kason,A427,6/1/1950,3/25/1980
427. Sage,A428,6/1/1950,3/25/1980
428. Grady,A429,6/1/1950,3/25/1980
429. Kendrick,A430,6/1/1950,3/25/1980
430. Leland,A431,6/1/1950,3/25/1980
431. Luciano,A432,6/1/1950,3/25/1980
432. Pedro,A433,6/1/1950,3/25/1980
433. Hank,A434,6/1/1950,3/25/1980
434. Hugo,A435,6/1/1950,3/25/1980
435. Esteban,A436,6/1/1950,3/25/1980
436. Johnny,A437,6/1/1950,3/25/1980
437. Kashton,A438,6/1/1950,3/25/1980
438. Ronin,A439,6/1/1950,3/25/1980
439. Ford,A440,6/1/1950,3/25/1980
440. Mathias,A441,6/1/1950,3/25/1980
441. Porter,A442,6/1/1950,3/25/1980
442. Erik,A443,6/1/1950,3/25/1980
443. Johnathan,A444,6/1/1950,3/25/1980
444. Frank,A445,6/1/1950,3/25/1980
445. Tripp,A446,6/1/1950,3/25/1980
446. Casey,A447,6/1/1950,3/25/1980
447. Fabian,A448,6/1/1950,3/25/1980
448. Leonidas,A449,6/1/1950,3/25/1980
449. Baker,A450,6/1/1950,3/25/1980
450. Matthias,A451,6/1/1950,3/25/1980
451. Philip,A452,6/1/1950,3/25/1980
452. Jayceon,A453,6/1/1950,3/25/1980
453. Kian,A454,6/1/1950,3/25/1980
454. Saint,A455,6/1/1950,3/25/1980
455. Ibrahim,A456,6/1/1950,3/25/1980
456. Jaxton,A457,6/1/1950,3/25/1980
457. Augustus,A458,6/1/1950,3/25/1980
458. Callen,A459,6/1/1950,3/25/1980
459. Trevor,A460,6/1/1950,3/25/1980
460. Ruben,A461,6/1/1950,3/25/1980
461. Adan,A462,6/1/1950,3/25/1980
462. Conor,A463,6/1/1950,3/25/1980
463. Dax,A464,6/1/1950,3/25/1980
464. Braylen,A465,6/1/1950,3/25/1980
465. Kaison,A466,6/1/1950,3/25/1980
466. Francis,A467,6/1/1950,3/25/1980
467. Kyson,A468,6/1/1950,3/25/1980
468. Andy,A469,6/1/1950,3/25/1980
469. Lucca,A470,6/1/1950,3/25/1980
470. Mack,A471,6/1/1950,3/25/1980
471. Peyton,A472,6/1/1950,3/25/1980
472. Alexis,A473,6/1/1950,3/25/1980
473. Deacon,A474,6/1/1950,3/25/1980
474. Kasen,A475,6/1/1950,3/25/1980
475. Kamden,A476,6/1/1950,3/25/1980
476. Frederick,A477,6/1/1950,3/25/1980
477. Princeton,A478,6/1/1950,3/25/1980
478. Braylon,A479,6/1/1950,3/25/1980
479. Wells,A480,6/1/1950,3/25/1980
480. Nikolai,A481,6/1/1950,3/25/1980
481. Iker,A482,6/1/1950,3/25/1980
482. Bo,A483,6/1/1950,3/25/1980
483. Dominick,A484,6/1/1950,3/25/1980
484. Moshe,A485,6/1/1950,3/25/1980
485. Cassius,A486,6/1/1950,3/25/1980
486. Gregory,A487,6/1/1950,3/25/1980
487. Lewis,A488,6/1/1950,3/25/1980
488. Kieran,A489,6/1/1950,3/25/1980
489. Isaias,A490,6/1/1950,3/25/1980
490. Seth,A491,6/1/1950,3/25/1980
491. Marcos,A492,6/1/1950,3/25/1980
492. Omari,A493,6/1/1950,3/25/1980
493. Shane,A494,6/1/1950,3/25/1980
494. Keegan,A495,6/1/1950,3/25/1980
495. Jase,A496,6/1/1950,3/25/1980
496. Asa,A497,6/1/1950,3/25/1980
497. Sonny,A498,6/1/1950,3/25/1980
498. Uriel,A499,6/1/1950,3/25/1980
499. Pierce,A500,6/1/1950,3/25/1980
500. Jasiah,A501,6/1/1950,3/25/1980
501. Eden,A502,6/1/1950,3/25/1980
502. Rocco,A503,6/1/1950,3/25/1980
503. Banks,A504,6/1/1950,3/25/1980
504. Cannon,A505,6/1/1950,3/25/1980
505. Denver,A506,6/1/1950,3/25/1980
506. Zaiden,A507,6/1/1950,3/25/1980
507. Roberto,A508,6/1/1950,3/25/1980
508. Shawn,A509,6/1/1950,3/25/1980
509. Drew,A510,6/1/1950,3/25/1980
510. Emanuel,A511,6/1/1950,3/25/1980
511. Kolton,A512,6/1/1950,3/25/1980
512. Ayaan,A513,6/1/1950,3/25/1980
513. Ares,A514,6/1/1950,3/25/1980
514. Conner,A515,6/1/1950,3/25/1980
515. Jalen,A516,6/1/1950,3/25/1980
516. Alonzo,A517,6/1/1950,3/25/1980
517. Enrique,A518,6/1/1950,3/25/1980
518. Dalton,A519,6/1/1950,3/25/1980
519. Moses,A520,6/1/1950,3/25/1980
520. Koda,A521,6/1/1950,3/25/1980
521. Bodie,A522,6/1/1950,3/25/1980
522. Jamison,A523,6/1/1950,3/25/1980
523. Phillip,A524,6/1/1950,3/25/1980
524. Zaire,A525,6/1/1950,3/25/1980
525. Jonas,A526,6/1/1950,3/25/1980
526. Kylo,A527,6/1/1950,3/25/1980
527. Moises,A528,6/1/1950,3/25/1980
528. Shepherd,A529,6/1/1950,3/25/1980
529. Allen,A530,6/1/1950,3/25/1980
530. Kenzo,A531,6/1/1950,3/25/1980
531. Mohamed,A532,6/1/1950,3/25/1980
532. Keanu,A533,6/1/1950,3/25/1980
533. Dexter,A534,6/1/1950,3/25/1980
534. Conrad,A535,6/1/1950,3/25/1980
535. Bruce,A536,6/1/1950,3/25/1980
536. Sylas,A537,6/1/1950,3/25/1980
537. Soren,A538,6/1/1950,3/25/1980
538. Raphael,A539,6/1/1950,3/25/1980
539. Rowen,A540,6/1/1950,3/25/1980
540. Gunnar,A541,6/1/1950,3/25/1980
541. Sutton,A542,6/1/1950,3/25/1980
542. Quentin,A543,6/1/1950,3/25/1980
543. Jaziel,A544,6/1/1950,3/25/1980
544. Emmitt,A545,6/1/1950,3/25/1980
545. Makai,A546,6/1/1950,3/25/1980
546. Koa,A547,6/1/1950,3/25/1980
547. Maximilian,A548,6/1/1950,3/25/1980
548. Brixton,A549,6/1/1950,3/25/1980
549. Dariel,A550,6/1/1950,3/25/1980
550. Zachariah,A551,6/1/1950,3/25/1980
551. Roy,A552,6/1/1950,3/25/1980
552. Armando,A553,6/1/1950,3/25/1980
553. Corey,A554,6/1/1950,3/25/1980
554. Saul,A555,6/1/1950,3/25/1980
555. Izaiah,A556,6/1/1950,3/25/1980
556. Danny,A557,6/1/1950,3/25/1980
557. Davis,A558,6/1/1950,3/25/1980
558. Ridge,A559,6/1/1950,3/25/1980
559. Yusuf,A560,6/1/1950,3/25/1980
560. Ariel,A561,6/1/1950,3/25/1980
561. Valentino,A562,6/1/1950,3/25/1980
562. Jayson,A563,6/1/1950,3/25/1980
563. Ronald,A564,6/1/1950,3/25/1980
564. Albert,A565,6/1/1950,3/25/1980
565. Gerardo,A566,6/1/1950,3/25/1980
566. Ryland,A567,6/1/1950,3/25/1980
567. Dorian,A568,6/1/1950,3/25/1980
568. Drake,A569,6/1/1950,3/25/1980
569. Gage,A570,6/1/1950,3/25/1980
570. Rodrigo,A571,6/1/1950,3/25/1980
571. Hezekiah,A572,6/1/1950,3/25/1980
572. Kylan,A573,6/1/1950,3/25/1980
573. Boone,A574,6/1/1950,3/25/1980
574. Ledger,A575,6/1/1950,3/25/1980
575. Santana,A576,6/1/1950,3/25/1980
576. Jamari,A577,6/1/1950,3/25/1980
577. Jamir,A578,6/1/1950,3/25/1980
578. Lawrence,A579,6/1/1950,3/25/1980
579. Reece,A580,6/1/1950,3/25/1980
580. Kaysen,A581,6/1/1950,3/25/1980
581. Shiloh,A582,6/1/1950,3/25/1980
582. Arjun,A583,6/1/1950,3/25/1980
583. Marcelo,A584,6/1/1950,3/25/1980
584. Abram,A585,6/1/1950,3/25/1980
585. Benson,A586,6/1/1950,3/25/1980
586. Huxley,A587,6/1/1950,3/25/1980
587. Nikolas,A588,6/1/1950,3/25/1980
588. Zain,A589,6/1/1950,3/25/1980
589. Kohen,A590,6/1/1950,3/25/1980
590. Samson,A591,6/1/1950,3/25/1980
591. Miller,A592,6/1/1950,3/25/1980
592. Donald,A593,6/1/1950,3/25/1980
593. Finnley,A594,6/1/1950,3/25/1980
594. Kannon,A595,6/1/1950,3/25/1980
595. Lucian,A596,6/1/1950,3/25/1980
596. Watson,A597,6/1/1950,3/25/1980
597. Keith,A598,6/1/1950,3/25/1980
598. Westin,A599,6/1/1950,3/25/1980
599. Tadeo,A600,6/1/1950,3/25/1980
600. Sincere,A601,6/1/1950,3/25/1980
601. Boston,A602,6/1/1950,3/25/1980
602. Axton,A603,6/1/1950,3/25/1980
603. Amos,A604,6/1/1950,3/25/1980
604. Chandler,A605,6/1/1950,3/25/1980
605. Leandro,A606,6/1/1950,3/25/1980
606. Raul,A607,6/1/1950,3/25/1980
607. Scott,A608,6/1/1950,3/25/1980
608. Reign,A609,6/1/1950,3/25/1980
609. Alessandro,A610,6/1/1950,3/25/1980
610. Camilo,A611,6/1/1950,3/25/1980
611. Derrick,A612,6/1/1950,3/25/1980
612. Morgan,A613,6/1/1950,3/25/1980
613. Julio,A614,6/1/1950,3/25/1980
614. Clay,A615,6/1/1950,3/25/1980
615. Edison,A616,6/1/1950,3/25/1980
616. Jaime,A617,6/1/1950,3/25/1980
617. Augustine,A618,6/1/1950,3/25/1980
618. Julien,A619,6/1/1950,3/25/1980
619. Zeke,A620,6/1/1950,3/25/1980
620. Marvin,A621,6/1/1950,3/25/1980
621. Bellamy,A622,6/1/1950,3/25/1980
622. Landen,A623,6/1/1950,3/25/1980
623. Dustin,A624,6/1/1950,3/25/1980
624. Jamie,A625,6/1/1950,3/25/1980
625. Krew,A626,6/1/1950,3/25/1980
626. Kyree,A627,6/1/1950,3/25/1980
627. Colter,A628,6/1/1950,3/25/1980
628. Johan,A629,6/1/1950,3/25/1980
629. Houston,A630,6/1/1950,3/25/1980
630. Layton,A631,6/1/1950,3/25/1980
631. Quincy,A632,6/1/1950,3/25/1980
632. Case,A633,6/1/1950,3/25/1980
633. Atreus,A634,6/1/1950,3/25/1980
634. Cayson,A635,6/1/1950,3/25/1980
635. Aarav,A636,6/1/1950,3/25/1980
636. Darius,A637,6/1/1950,3/25/1980
637. Harlan,A638,6/1/1950,3/25/1980
638. Justice,A639,6/1/1950,3/25/1980
639. Abdiel,A640,6/1/1950,3/25/1980
640. Layne,A641,6/1/1950,3/25/1980
641. Raylan,A642,6/1/1950,3/25/1980
642. Arturo,A643,6/1/1950,3/25/1980
643. Taylor,A644,6/1/1950,3/25/1980
644. Anakin,A645,6/1/1950,3/25/1980
645. Ander,A646,6/1/1950,3/25/1980
646. Hamza,A647,6/1/1950,3/25/1980
647. Otis,A648,6/1/1950,3/25/1980
648. Azariah,A649,6/1/1950,3/25/1980
649. Leonard,A650,6/1/1950,3/25/1980
650. Colby,A651,6/1/1950,3/25/1980
651. Duke,A652,6/1/1950,3/25/1980
652. Flynn,A653,6/1/1950,3/25/1980
653. Trey,A654,6/1/1950,3/25/1980
654. Gustavo,A655,6/1/1950,3/25/1980
655. Fletcher,A656,6/1/1950,3/25/1980
656. Issac,A657,6/1/1950,3/25/1980
657. Sam,A658,6/1/1950,3/25/1980
658. Trenton,A659,6/1/1950,3/25/1980
659. Callahan,A660,6/1/1950,3/25/1980
660. Chris,A661,6/1/1950,3/25/1980
661. Mohammad,A662,6/1/1950,3/25/1980
662. Rayan,A663,6/1/1950,3/25/1980
663. Lionel,A664,6/1/1950,3/25/1980
664. Bruno,A665,6/1/1950,3/25/1980
665. Jaxxon,A666,6/1/1950,3/25/1980
666. Zaid,A667,6/1/1950,3/25/1980
667. Brycen,A668,6/1/1950,3/25/1980
668. Roland,A669,6/1/1950,3/25/1980
669. Dillon,A670,6/1/1950,3/25/1980
670. Lennon,A671,6/1/1950,3/25/1980
671. Ambrose,A672,6/1/1950,3/25/1980
672. Rio,A673,6/1/1950,3/25/1980
673. Mac,A674,6/1/1950,3/25/1980
674. Ahmed,A675,6/1/1950,3/25/1980
675. Samir,A676,6/1/1950,3/25/1980
676. Yosef,A677,6/1/1950,3/25/1980
677. Tru,A678,6/1/1950,3/25/1980
678. Creed,A679,6/1/1950,3/25/1980
679. Tony,A680,6/1/1950,3/25/1980
680. Alden,A681,6/1/1950,3/25/1980
681. Aden,A682,6/1/1950,3/25/1980
682. Alec,A683,6/1/1950,3/25/1980
683. Carmelo,A684,6/1/1950,3/25/1980
684. Dario,A685,6/1/1950,3/25/1980
685. Marcel,A686,6/1/1950,3/25/1980
686. Roger,A687,6/1/1950,3/25/1980
687. Ty,A688,6/1/1950,3/25/1980
688. Ahmad,A689,6/1/1950,3/25/1980
689. Emir,A690,6/1/1950,3/25/1980
690. Landyn,A691,6/1/1950,3/25/1980
691. Skyler,A692,6/1/1950,3/25/1980
692. Mohammed,A693,6/1/1950,3/25/1980
693. Dennis,A694,6/1/1950,3/25/1980
694. Kareem,A695,6/1/1950,3/25/1980
695. Nixon,A696,6/1/1950,3/25/1980
696. Rex,A697,6/1/1950,3/25/1980
697. Uriah,A698,6/1/1950,3/25/1980
698. Lee,A699,6/1/1950,3/25/1980
699. Louie,A700,6/1/1950,3/25/1980
700. Rayden,A701,6/1/1950,3/25/1980
701. Reese,A702,6/1/1950,3/25/1980
702. Alberto,A703,6/1/1950,3/25/1980
703. Cason,A704,6/1/1950,3/25/1980
704. Quinton,A705,6/1/1950,3/25/1980
705. Kingsley,A706,6/1/1950,3/25/1980
706. Chaim,A707,6/1/1950,3/25/1980
707. Alfredo,A708,6/1/1950,3/25/1980
708. Mauricio,A709,6/1/1950,3/25/1980
709. Caspian,A710,6/1/1950,3/25/1980
710. Legacy,A711,6/1/1950,3/25/1980
711. Ocean,A712,6/1/1950,3/25/1980
712. Ozzy,A713,6/1/1950,3/25/1980
713. Briar,A714,6/1/1950,3/25/1980
714. Wilson,A715,6/1/1950,3/25/1980
715. Forest,A716,6/1/1950,3/25/1980
716. Grey,A717,6/1/1950,3/25/1980
717. Joziah,A718,6/1/1950,3/25/1980
718. Salem,A719,6/1/1950,3/25/1980
719. Neil,A720,6/1/1950,3/25/1980
720. Remi,A721,6/1/1950,3/25/1980
721. Bridger,A722,6/1/1950,3/25/1980
722. Harry,A723,6/1/1950,3/25/1980
723. Jefferson,A724,6/1/1950,3/25/1980
724. Lachlan,A725,6/1/1950,3/25/1980
725. Nelson,A726,6/1/1950,3/25/1980
726. Casen,A727,6/1/1950,3/25/1980
727. Salvador,A728,6/1/1950,3/25/1980
728. Magnus,A729,6/1/1950,3/25/1980
729. Tommy,A730,6/1/1950,3/25/1980
730. Marcellus,A731,6/1/1950,3/25/1980
731. Maximo,A732,6/1/1950,3/25/1980
732. Jerry,A733,6/1/1950,3/25/1980
733. Clyde,A734,6/1/1950,3/25/1980
734. Aron,A735,6/1/1950,3/25/1980
735. Keaton,A736,6/1/1950,3/25/1980
736. Eliam,A737,6/1/1950,3/25/1980
737. Lian,A738,6/1/1950,3/25/1980
738. Trace,A739,6/1/1950,3/25/1980
739. Douglas,A740,6/1/1950,3/25/1980
740. Junior,A741,6/1/1950,3/25/1980
741. Titan,A742,6/1/1950,3/25/1980
742. Cullen,A743,6/1/1950,3/25/1980
743. Cillian,A744,6/1/1950,3/25/1980
744. Musa,A745,6/1/1950,3/25/1980
745. Mylo,A746,6/1/1950,3/25/1980
746. Hugh,A747,6/1/1950,3/25/1980
747. Tomas,A748,6/1/1950,3/25/1980
748. Vincenzo,A749,6/1/1950,3/25/1980
749. Westley,A750,6/1/1950,3/25/1980
750. Langston,A751,6/1/1950,3/25/1980
751. Byron,A752,6/1/1950,3/25/1980
752. Kiaan,A753,6/1/1950,3/25/1980
753. Loyal,A754,6/1/1950,3/25/1980
754. Orlando,A755,6/1/1950,3/25/1980
755. Kyro,A756,6/1/1950,3/25/1980
756. Amias,A757,6/1/1950,3/25/1980
757. Amiri,A758,6/1/1950,3/25/1980
758. Jimmy,A759,6/1/1950,3/25/1980
759. Vicente,A760,6/1/1950,3/25/1980
760. Khari,A761,6/1/1950,3/25/1980
761. Brendan,A762,6/1/1950,3/25/1980
762. Rey,A763,6/1/1950,3/25/1980
763. Ben,A764,6/1/1950,3/25/1980
764. Emery,A765,6/1/1950,3/25/1980
765. Zyair,A766,6/1/1950,3/25/1980
766. Bjorn,A767,6/1/1950,3/25/1980
767. Evander,A768,6/1/1950,3/25/1980
768. Ramon,A769,6/1/1950,3/25/1980
769. Alvin,A770,6/1/1950,3/25/1980
770. Ricky,A771,6/1/1950,3/25/1980
771. Jagger,A772,6/1/1950,3/25/1980
772. Brock,A773,6/1/1950,3/25/1980
773. Dakari,A774,6/1/1950,3/25/1980
774. Eddie,A775,6/1/1950,3/25/1980
775. Blaze,A776,6/1/1950,3/25/1980
776. Gatlin,A777,6/1/1950,3/25/1980
777. Alonso,A778,6/1/1950,3/25/1980
778. Curtis,A779,6/1/1950,3/25/1980
779. Kylian,A780,6/1/1950,3/25/1980
